time,Ia,Ib,Ic,Vab,Vbc,Vca,Torque,Speed,Category
0,0,0,0,120,120,120,0,0,NOM
0.0005,0,0,0,120,120,120,0,0,NOM
0.001,34.98513549,-69.97027098,34.98513549,120,120,120,-1.37E-15,0,NOM
0.0015,105.0284624,-210.0569248,105.0284624,120,120,120,1.76E-13,-1.64E-17,NOM
0.002,171.9582609,-343.9165217,171.9582609,120,120,120,2.37E-12,2.07E-15,NOM
0.0025,235.90875,-471.8175,235.90875,120,120,120,1.15E-11,3.15E-14,NOM
0.003,297.0136019,-594.0272039,297.0136019,120,120,120,3.39E-11,1.82E-13,NOM
0.0035,355.4004914,-710.8009828,355.4004914,120,120,120,7.73E-11,6.41E-13,NOM
0.004,339.5951379,-786.5846153,446.9894774,120,120,120,12.28984295,1.70E-12,NOM
0.0045,252.8919859,-823.2000342,570.3080484,120,120,120,43.98901586,0.146699194,NOM
0.005,170.0445087,-858.1899879,688.1454792,120,120,120,81.57271699,0.74512498,NOM
0.0055,90.89028256,-891.6293854,800.7391028,120,120,120,124.4155763,1.907995692,NOM
0.006,15.26400538,-923.5828823,908.3188769,120,120,120,171.9145684,3.617348092,NOM
0.0065,-56.98983186,-954.1133386,1011.10317,120,120,120,223.4793555,5.92501179,NOM
0.007,-161.7944349,-911.6867925,1073.481227,120,120,120,290.887859,8.875903486,NOM
0.0075,-297.6386057,-799.5432565,1097.181862,120,120,120,380.7479428,12.655602,NOM
0.008,-427.3627622,-692.387523,1119.750285,120,120,120,478.9762992,17.60237435,NOM
0.0085,-551.2028499,-590.0149004,1141.21775,120,120,120,584.4173148,23.85551278,NOM
0.009,-669.3819553,-492.2247635,1161.606719,120,120,120,695.932954,31.41701816,NOM
0.0095,-746.2066501,-363.139167,1109.345817,120,120,120,775.4907816,40.35246626,NOM
0.01,-783.2052609,-204.4371192,987.6423801,120,120,120,826.1747396,50.27355905,NOM
0.0105,-818.1592233,-53.01910233,871.1783257,120,120,120,886.1665644,60.6086229,NOM
0.011,-851.1407823,91.39810195,759.7426803,120,120,120,954.7560926,71.48716218,NOM
0.0115,-882.2198131,229.0875138,653.1322993,120,120,120,1031.263357,83.23967783,NOM
0.012,-911.4585891,360.3024259,551.1561632,120,120,120,1114.995052,95.95641672,NOM
0.0125,-867.324647,449.1672862,418.1573607,120,120,120,1113.842156,109.719525,NOM
0.013,-753.0692907,496.8099292,256.2593615,120,120,120,1031.769972,123.5115999,NOM
0.0135,-643.4298279,541.7042626,101.7255654,120,120,120,964.9104876,135.8170012,NOM
0.014,-538.2979259,584.0281463,-45.73022036,120,120,120,913.0631209,146.8410381,NOM
0.0145,-437.5669665,623.9616894,-186.3947229,120,120,120,875.8685905,157.3367056,NOM
0.015,-305.8366908,590.0697337,-284.2330428,120,120,120,761.5563151,167.4777238,NOM
0.0155,-145.6305572,485.6969033,-340.0663461,120,120,120,571.6449818,176.3414223,NOM
0.016,7.424564484,385.6343791,-393.0589436,120,120,120,399.8142942,182.4777211,NOM
0.0165,153.5779125,289.8344811,-443.4123936,120,120,120,245.43255,186.1115933,NOM
0.017,293.0876998,198.2432646,-491.3309644,596.6441917,575.9291613,564.3792256,107.6712157,188.010518,NOM
0.0175,426.2230813,110.7811072,-537.0041885,586.505155,586.6803018,581.6011288,-14.46427011,188.3691609,NOM
0.018,516.8359094,-7.8174096,-509.0184998,586.5235399,586.6700082,581.5849704,-148.6751231,187.3691285,NOM
0.0185,565.6225656,-154.8798459,-410.7427196,586.5471125,586.6586875,581.575547,-295.1394792,184.8603803,NOM
0.019,612.1143823,-295.1786675,-316.9357148,586.5727843,586.6484216,581.5743061,-430.1233381,180.5313603,NOM
0.0195,656.4637764,-428.9878193,-227.4759571,586.5992845,586.6395649,581.5805205,-554.4108538,174.5180955,NOM
0.02,698.8109965,-556.5806896,-142.2303069,586.6255535,586.632418,581.5932596,-668.8272998,167.0899661,NOM
0.0205,667.6953915,-641.8811993,-25.81419227,586.6506975,580.880411,586.5250772,-723.2677541,158.3601562,NOM
0.021,566.4310543,-685.7634017,119.3323474,586.6739898,580.87771,586.5469833,-719.0181552,149.0396828,NOM
0.0215,469.7367696,-727.5884292,257.8516596,586.6948581,580.8769178,586.5707102,-711.2904932,140.1281632,NOM
0.022,377.4426395,-767.5016001,390.0589606,586.7128933,580.8773773,586.5960162,-700.1956321,131.6594179,NOM
0.0225,289.3638125,-805.6219768,516.2581642,586.7275542,580.8789766,586.6219906,-685.9282845,123.3440919,NOM
0.023,205.3154871,-842.0528351,636.737348,586.7388687,580.8815738,586.6475831,-668.7258407,115.2193875,NOM
0.0235,89.70116787,-805.2952842,715.5941164,581.8629284,586.6583579,586.6719638,-580.043573,107.3191766,NOM
0.024,-55.39262389,-698.6214467,754.0140706,581.8671101,586.661496,586.6943724,-418.8713924,100.4952632,NOM
0.0245,-194.0470447,-596.7468047,790.7938494,581.8677878,586.6638251,586.7141939,-256.6056193,96.02199825,NOM
0.025,-326.5143053,-499.4995042,826.0138095,581.8648329,586.6662971,586.7309078,-93.88948127,93.91838816,NOM
0.0255,-453.030828,-406.7013537,859.7321817,581.8586659,586.6687858,586.7443065,68.52970111,93.76361118,NOM
0.026,-537.7189449,-282.6930002,820.4119451,586.7617587,586.6712817,581.0086749,227.8426717,95.55023013,NOM
0.0265,-581.7866679,-129.5104739,711.2971418,586.7495969,586.67372,581.0150271,386.403829,99.23665979,NOM
0.027,-623.704086,16.62233685,607.0817492,586.7346748,586.6760537,581.0177549,547.6663824,104.7971077,NOM
0.0275,-663.5203485,155.9585095,507.561839,586.7186298,586.6782758,581.0165033,710.9013232,112.2778205,NOM
0.028,-701.2771357,288.7368098,412.5403259,586.7023058,586.6800533,581.0116335,875.4031504,121.7228996,NOM
0.0285,-737.0171352,415.1777231,321.839412,586.6862192,586.6816561,581.0036114,1040.471591,133.1430619,NOM
0.029,-699.1953813,499.2510698,199.9443115,586.6710123,581.798505,586.7653063,1110.619344,146.5408057,NOM
0.0295,-591.0617012,541.8263263,49.23537487,586.6571536,581.7994128,586.7514826,1093.389671,160.7788651,NOM
0.03,-487.3443499,581.7395638,-94.39521392,586.6450203,581.7996484,586.7350328,1089.999316,174.2443281,NOM
0.0305,-387.9398204,619.1648429,-231.2250225,586.6348371,581.7987847,586.7177355,1100.343668,187.1474464,NOM
0.031,-292.7475843,654.2750746,-361.5274903,586.6269073,581.7968753,586.7002478,1124.115613,200.2562966,NOM
0.0315,-201.6536727,687.2114613,-485.5577886,596.817271,570.6714132,586.6832938,1160.788162,213.7305258,NOM
0.032,-79.45785341,646.5187346,-567.0608812,596.8124524,570.6698044,586.6674423,1086.474612,227.7222701,NOM
0.0325,70.90900407,535.5413648,-606.4503688,596.8098165,570.670256,586.6530496,908.621144,240.9035691,NOM
0.033,214.3616647,429.0593359,-643.4210006,596.8101167,570.6703669,586.6408481,755.1548877,251.2991318,NOM
0.0335,351.1276863,327.0673239,-678.1950102,596.8129659,570.670418,586.6307187,625.240527,259.2445945,NOM
0.034,481.4529023,229.5458359,-710.9987382,596.817906,570.6701881,586.6232479,517.755404,265.7846901,NOM
0.0345,568.9329418,101.513795,-670.4467368,602.1750599,570.6698033,581.7331636,360.9218687,271.1821963,NOM
0.035,613.7540228,-53.80153086,-559.952492,602.1818456,570.6692945,581.7309574,154.5888058,274.8413763,NOM
0.0355,656.2023977,-201.9303854,-454.2720123,602.1879592,570.6687549,581.7307721,-33.07772379,275.7430258,NOM
0.036,696.4665753,-343.1232987,-353.3432766,602.1940586,570.6681365,581.731922,-203.0169711,274.1091417,NOM
0.0365,734.7357857,-477.6426853,-257.0931005,602.199789,570.6676329,581.7341333,-356.3386484,270.5582472,NOM
0.037,771.1919351,-605.7644486,-165.4274865,602.2050032,581.7353892,570.6141341,-494.279706,265.2831437,NOM
0.0375,734.4207128,-691.0992355,-43.32147729,602.2095516,581.7339124,570.6193828,-600.52916,258.4608393,NOM
0.038,627.8064394,-733.9235486,106.1171091,602.2132203,581.7325467,570.6277447,-677.8609266,250.4622819,NOM
0.0385,526.052382,-774.5982504,248.5458684,602.2163129,581.7324101,570.636403,-749.5786631,241.7300296,NOM
0.039,429.0076194,-813.2970183,384.2893989,602.2186135,581.7333812,570.6451841,-815.8270544,232.3145545,NOM
0.0395,336.5049812,-850.1692756,513.6642944,602.2204369,581.7353058,570.653627,-876.8830567,222.1420711,NOM
0.04,213.3129498,-813.7610241,600.4480744,596.8987043,586.650589,570.6615321,-860.876989,211.2737155,NOM
0.0405,62.18228551,-707.4035683,645.2212827,596.8996996,586.6530463,570.6686733,-770.0810286,200.6277156,NOM
0.041,-82.1371308,-605.799451,687.9365818,596.9001622,586.6546939,570.674947,-680.3138858,191.5257435,NOM
0.0415,-219.9568182,-508.7945723,728.7513905,596.8996776,586.6564316,570.6801363,-591.488358,183.9419028,NOM
0.042,-351.5749837,-416.21769,767.7926737,596.8983718,586.6580762,570.684441,-503.7216729,177.4123847,NOM
